Timestamp;TACHO_currLeftSpeed;TACHO_currRightSpeed;currSpeedPercent;currSpeedPercent
25000;1312;0;20;0
41000;1312;0;20;0
58000;1312;0;20;0
74000;1312;0;20;0
93000;1312;0;20;0
109000;1375;0;20;0
125000;1312;0;20;0
143000;1375;0;20;0
159000;1312;0;20;0
174000;1375;0;20;0
191000;1312;0;20;0
208000;1375;0;20;0
226000;1375;0;20;0
242000;1375;0;20;0
257000;1375;0;20;0
276000;1375;0;20;0
293000;1375;0;20;0
310000;1375;0;20;0
327000;1375;0;20;0
344000;1375;0;20;0
360000;1312;0;20;0
376000;1312;0;20;0
392000;1375;0;20;0
408000;1375;0;20;0
424000;1312;0;20;0
441000;1312;0;20;0
459000;1312;0;20;0
474000;1375;0;20;0
493000;1375;0;20;0
509000;1375;0;20;0
525000;1312;0;20;0
544000;1312;0;20;0
560000;1375;0;20;0
576000;1250;0;20;0
594000;1312;0;20;0
609000;1312;0;20;0
626000;1250;0;20;0
642000;1312;0;20;0
658000;1312;0;20;0
675000;1312;0;20;0
691000;1312;0;20;0
707000;1312;0;20;0
723000;1312;0;20;0
740000;1437;0;20;0
756000;1312;0;20;0
772000;1312;0;20;0
789000;1375;0;20;0
806000;1375;0;20;0
823000;1375;0;20;0
839000;1375;0;20;0
857000;1312;0;20;0
874000;1375;0;20;0
892000;1312;0;20;0
908000;1312;0;20;0
924000;1375;0;20;0
941000;1375;0;20;0
961000;1375;0;20;0
976000;1312;0;20;0
992000;1312;0;20;0
1007000;1312;0;20;0
1024000;1312;0;20;0
1040000;1312;0;20;0
1056000;1375;0;20;0
1074000;1312;0;20;0
1091000;1312;0;20;0
1108000;1312;0;20;0
1125000;1250;0;20;0
1142000;1312;0;20;0
1158000;1312;0;20;0
1174000;1312;0;20;0
1190000;1312;0;20;0
1206000;1312;0;20;0
1222000;1312;0;20;0
1238000;1250;0;20;0
1254000;1312;0;20;0
1271000;1312;0;20;0
1288000;1437;0;20;0
1306000;1312;0;20;0
1322000;1312;0;20;0
1340000;1375;0;20;0
1356000;1375;0;20;0
1373000;1375;0;20;0
1389000;1375;0;20;0
1405000;1312;0;20;0
1422000;1375;0;20;0
1438000;1375;0;20;0
1456000;1312;0;20;0
1474000;1375;0;20;0
1493000;1375;0;20;0
1512000;1375;0;20;0
1528000;1375;0;20;0
1546000;1375;0;20;0
1561000;1375;0;20;0
1578000;1375;0;20;0
1593000;1375;0;20;0
1608000;1375;0;20;0
1625000;1312;0;20;0
1641000;1312;0;20;0
1659000;1375;0;20;0
1676000;1250;0;20;0
1693000;1375;0;20;0
1709000;1312;0;20;0
1726000;1312;0;20;0
1743000;1312;0;20;0
1759000;1312;0;20;0
1775000;1312;0;20;0
1791000;1312;0;20;0
1808000;1312;0;20;0
1826000;1312;0;20;0
1843000;1250;0;20;0
1860000;1312;0;20;0
1875000;1312;0;20;0
1892000;1437;0;20;0
1911000;1375;0;20;0
