Timestamp;TACHO_currLeftSpeed;TACHO_currRightSpeed;currSpeedPercent;currSpeedPercent
26000;0;0;0;0
47000;0;0;0;0
64000;0;0;0;0
81000;0;0;0;0
98000;0;0;0;0
115000;0;0;0;0
131000;0;0;0;0
146000;0;0;0;0
161000;0;0;0;0
179000;0;0;0;0
194000;0;0;0;0
211000;0;0;0;0
229000;0;0;0;0
245000;0;0;0;0
261000;0;0;0;0
278000;0;0;0;0
294000;0;0;0;0
310000;0;0;0;0
326000;0;0;0;0
345000;0;0;0;0
363000;0;0;0;0
380000;0;0;0;0
397000;0;0;0;0
413000;0;0;0;0
429000;0;0;0;0
446000;0;0;0;0
463000;0;0;0;0
478000;0;0;0;0
494000;0;0;0;0
512000;0;0;0;0
529000;0;0;0;0
545000;0;0;0;0
561000;0;0;0;0
579000;0;0;0;0
594000;0;0;0;0
611000;0;0;0;0
628000;0;0;0;0
644000;0;0;0;0
661000;0;0;0;0
678000;0;0;0;0
694000;0;0;0;0
711000;0;0;0;0
727000;0;0;0;0
743000;0;0;0;0
760000;0;0;0;0
779000;0;0;0;0
796000;0;0;0;0
812000;0;0;0;0
828000;0;0;0;0
844000;0;0;0;0
862000;0;0;0;0
878000;0;0;0;0
894000;0;0;0;0
910000;0;0;0;0
926000;0;0;0;0
943000;0;0;0;0
959000;0;0;0;0
978000;0;0;0;0
994000;0;0;0;0
1009000;0;0;0;0
1027000;0;0;0;0
1042000;0;0;0;0
1059000;0;0;0;0
1074000;0;0;0;0
1091000;0;0;0;0
1107000;0;0;0;0
1124000;0;0;0;0
1140000;0;0;0;0
1158000;0;0;0;0
1174000;0;0;0;0
1194000;0;0;0;0
1209000;0;0;0;0
1225000;0;0;0;0
1243000;0;0;0;0
1259000;0;0;0;0
1277000;0;0;0;0
1292000;0;0;0;0
1309000;0;0;0;0
1326000;0;0;0;0
1345000;0;0;0;0
1361000;0;0;0;0
1377000;0;0;0;0
1394000;0;0;0;0
1411000;0;0;0;0
1428000;0;0;0;0
1445000;0;0;0;0
1461000;0;0;0;0
1477000;0;0;0;0
1494000;0;0;0;0
1510000;0;0;0;0
1527000;0;0;0;0
1543000;0;0;0;0
1560000;0;0;0;0
1575000;0;0;0;0
1591000;0;0;0;0
1608000;0;0;0;0
1624000;0;0;0;0
1642000;0;0;0;0
1659000;0;0;0;0
1676000;0;0;0;0
1693000;0;0;0;0
1708000;0;0;0;0
1725000;0;0;0;0
1741000;0;0;0;0
1758000;0;0;0;0
1774000;0;0;0;0
1790000;0;0;0;0
1806000;0;0;0;0
1824000;0;0;0;0
1841000;0;0;0;0
1858000;0;0;0;0
1874000;0;0;0;0
1890000;0;0;0;0
1906000;0;0;0;0
1922000;0;0;0;0
1938000;0;0;0;0
1955000;0;0;0;0
1972000;0;0;0;0
1990000;0;0;0;0
2008000;0;0;0;0
2024000;0;0;0;0
2042000;0;0;0;0
2058000;0;0;0;0
2076000;0;0;0;0
2092000;0;0;0;0
2108000;0;0;0;0
2125000;0;0;0;0
2141000;0;0;0;0
2157000;0;0;0;0
2174000;0;0;0;0
2191000;0;0;0;0
2209000;0;0;0;0
2226000;0;0;0;0
2243000;0;0;0;0
2259000;0;0;0;0
2276000;0;0;0;0
2292000;0;0;0;0
2308000;0;0;0;0
2325000;0;0;0;0
2342000;0;0;0;0
2359000;0;0;0;0
2375000;0;0;0;0
2392000;0;0;0;0
2408000;0;0;0;0
2425000;0;0;0;0
2441000;0;0;0;0
2458000;0;0;0;0
2475000;0;0;0;0
2491000;0;0;0;0
2507000;0;0;0;0
2524000;0;0;0;0
2540000;0;0;0;0
2557000;0;0;0;0
2572000;0;0;0;0
2589000;0;0;0;0
2605000;0;0;0;0
2622000;0;0;0;0
2638000;0;0;0;0
2654000;0;0;0;0
2671000;0;0;0;0
2685000;0;0;0;0
2702000;0;0;0;0
2718000;0;0;0;0
2735000;0;0;0;0
2750000;0;0;0;0
2768000;0;0;0;0
2786000;0;0;0;0
2802000;0;0;0;0
2821000;0;0;0;0
2836000;0;0;0;0
2853000;0;0;0;0
2869000;0;0;0;0
2886000;0;0;0;0
2903000;0;0;0;0
2919000;0;0;0;0
2937000;0;0;0;0
2953000;0;0;0;0
2971000;0;0;0;0
2989000;0;0;0;0
3006000;0;0;0;0
3024000;0;0;0;0
3041000;0;0;0;0
